id,parentId,evolve,name,size,condition,min,like,dislike,unchi,ill,rank,param1,param2,param3,money,hint,content,after
27,3,2,穿长筒靴的猫,104,3,752,5,0,5,3,4,1,28,3,387,这种猫会成长为帅气的品种、而且性格稳重。,在人类中也算得上是头脑聪明的。能按照自己想法创造出未来的厉害的猫。,受到园丁们的喜爱@ 因为长靴而可以在泥地里工作而被园丁们喜爱。
28,4,2,猫女郎,105,5,777,3,5,0,1,5,2.9,22,6,777,这种猫会成长为很可爱的品种、而且会成为容易让人亲近的猫,猫和人类的混血。兴奋的时候就会显出猫的样子。平时虽然有猫耳和尾巴、但是还是普通女孩的样子。,牛郎10人到来@可爱的猫女郎被带走了…这是诱拐吗？
29,1,2,招财猫,100,4,457,4,6,1.5,1,2,3.4,11,10,555,这种猫会成长为受欢迎品种、而且性格稳重。,招福气的猫。传闻把这个猫在身边就可以使财产增加10倍、所以非常受欢迎而不能轻易得到。,被富裕的人所喜爱@虽然是以亿为单位、但是被有钱的老爷爷当作吉祥物而购买走。
30,2,2,鼯鼠型猫,102,5,492,5,7,1.2,1,3,2.7,12,9,231,这种猫会成长为帅气的品种、而且是稀有品种。,鼯鼠一般外形的猫。跟鼹鼠一样可以在空中飞翔。但是喜欢猫食。当然不能长距离飞行。,旅行者20人纷纷来到@因为会飞而被旅行者带走一起旅行。
31,4,2,火焰猫,98,7,1132,0,3,0,0,5,4.2,3,-2,837,这种猫会成长为不平凡的品种、而且要提供许多的食物饲养。,被火焰包围的猫。是不能轻易触摸的热度。在灾害的时候、可以代替煤气被使用。,被厨师所喜爱@厨房的火力变小的餐厅所带走。
32,3,2,仓鼠猫,95,2,311,2,4,0,0.8,2,1.9,35,9,111,这种猫会成长为很可爱的品种、而且会受到其他动物崇拜。,经常从捕获的一方变成被捕获的一方的猫。也没有普通猫的面容。,受到小学生们的喜爱@想要饲养仓鼠的小学生们所买走。
33,1,2,小偷猫,103,2,235,0,0,1,0.9,2,1.7,14,-1,166,这种猫会成长为带有纹路的品种、而且性格活泼。,深夜里偷偷跑进没有关上窗户的家中的小偷猫。在猫的世界里就如鲁邦三世一样有名。,寺院的住持所喜爱@原本是装成可爱的小猫然后偷窃、却被接受
34,4,2,磁场猫,100,4,733,1,7,0,0.5,5,2.2,21,3,869,这种猫会成长为受欢迎品种、但是容易生病。,能够自由操纵磁场的猫。即使如此也是有悲惨的过往、一般不对他人诉说。能够使用肉球进行攻击。,100名小孩到来@成为深受欢迎的代表而被小孩们带走。
35,3,2,加拿大无毛猫,105,6,969,7,2,4,5,4,2,20,2,678,这种猫会成长为帅气的品种、而且是稀有品种。,突然变异的迷一般的猫。传闻出生在遥远的沙漠国家。性格温和、忠实于主人。对于敌人绝不饶恕。,在沙漠成为招牌猫＠只是没有毛的猫而被厌恶了沙漠的人所购买走。
36,4,2,舞狮猫,103,4,734,7,2,0.7,1,3,2.6,36,7,212,这种猫会成长为强壮的品种、而且性格活泼。,希望能成为春节的吉祥物而穿上那个服装。总的来说还是会舞狮的。,在祭祀上很受欢迎＠在祭祀活动中由猫来主导而变得很受欢迎。
37,5,2,猫车,112,6,972,5,1,0,3,4,2.1,34,11,654,这种猫会成长为大型的品种、而且性格活泼。,虽然是猫、但是被称作车的奇异的猫。车内被皮毛覆盖、座位也是柔软无比。速度比新干线还要快,在山里…＠为了帮助有困难的女孩而变成交通工具。
38,5,2,机器猫,100,7,1005,6,4,0,0,5,3.6,22,6,898,这种猫会成长为受欢迎品种、但是要提供许多的食物饲养。,从未来来的猫型机器人。使用现在技术所无法模仿的最新型物品制造而成的。,眼镜男所热切希望的＠给做什么都失败的男生带来热切希望而被购买走。
39,0,0,发热的猫,95,0,0,0,8,1,1,1,2.7,-100,-100,0,这种猫似乎发着高烧。在猫咖啡店里无法治愈…请寄养到可以治愈它的地方。,生病而发烧的猫。一直被高烧所困扰。但是猫的感冒是不会传染给人类的。,受到醉汉们欢迎＠被酩酊大醉的爸爸带回家。
40,0,0,老猫,95,0,0,0,8,1,1,1,1,-100,-100,0,这种猫已经是高龄品种了。是让它悠闲的老去、或是尽快的寻找到出售的对象。,世界上最长寿的猫。虽然步履蹒跚、但是还是精力充沛。但是没有老花镜是看不到进出的物品。,受到老人家们的喜爱＠因为能一起走过人生而受到老人家们的欢迎。
